temperature, humidity, moisture
28.0,39.9,64.1
28.0,40.2,64.5
28.0,39.5,63.9
28.0,39.0,63.8
28.0,40.0,63.5
28.0,40.0,63.5
28.0,39.7,64.2
28.0,40.3,64.1
28.0,39.8,63.6
28.0,40.3,64.0
28.0,40.2,63.1
28.0,39.6,63.8
28.0,40.0,64.0
28.0,39.5,63.4
28.0,39.7,63.8
28.0,40.0,63.4
28.0,39.9,63.2
28.0,39.7,63.5
28.0,40.0,63.3
28.0,40.1,63.3
28.0,40.0,63.3
28.0,40.9,64.4
28.0,39.8,63.6
28.0,40.0,63.5
28.0,39.9,63.2
28.0,39.8,63.4
28.0,39.7,63.5
28.0,40.5,63.2
28.0,39.4,63.2
28.0,39.6,62.9
28.0,39.4,63.5
28.0,39.9,63.1
28.0,40.6,64.4
28.0,40.0,62.5
28.0,40.3,62.9
28.0,40.9,63.0
28.0,40.0,62.6
28.0,39.3,63.0
28.0,40.0,63.0
28.0,40.1,63.0
27.9,40.7,63.4
27.9,40.1,63.2
27.9,40.0,62.8
27.9,40.4,63.0
27.9,40.1,63.4
27.9,39.7,62.5
27.9,40.1,62.6
27.9,39.5,62.5
27.9,39.9,62.9
27.9,40.7,62.6
27.9,40.2,63.0
27.9,40.0,62.7
27.9,40.3,62.6
27.9,39.6,62.9
27.9,40.0,62.6
27.9,40.2,62.4
27.8,40.0,62.2
27.8,40.3,63.3
27.8,40.1,62.1
27.8,40.1,61.8
27.8,40.3,62.0
27.8,40.1,62.4
27.8,40.5,62.6
27.8,40.6,62.0
27.8,40.2,61.8
27.8,40.7,62.0
27.8,40.2,62.4
27.7,40.1,62.1
27.7,40.4,62.8
27.7,40.7,61.6
27.7,40.5,62.1
27.7,39.9,61.5
27.7,40.6,62.3
27.7,40.5,62.2
27.7,40.4,62.2
27.7,40.5,61.9
27.6,40.6,62.0
27.6,40.2,62.1
27.6,39.9,62.0
27.6,40.4,61.8
27.6,40.6,62.5
27.6,41.1,61.9
27.6,40.8,62.2
27.6,40.7,62.4
27.5,40.4,62.1
27.5,40.3,61.7
27.5,40.2,61.9
27.5,39.9,62.0
27.5,40.5,61.6
27.5,40.6,61.6
27.5,41.2,61.9
27.4,40.7,61.4
27.4,40.1,61.1
27.4,40.5,61.1
27.4,41.1,61.6
27.4,40.8,61.5
27.4,40.2,61.6
27.3,41.0,61.9
27.3,40.6,61.8
27.3,41.0,61.5
27.3,40.4,61.0
27.3,40.3,61.2
27.3,40.8,61.3
27.2,40.5,61.3
27.2,41.0,60.8
27.2,41.3,61.1
27.2,40.8,60.9
27.2,40.9,61.0
27.2,40.7,60.6
27.1,40.8,61.1
27.1,40.9,61.5
27.1,40.7,60.9
27.1,41.1,61.1
27.1,41.0,60.9
27.0,40.9,60.5
27.0,41.2,60.5
27.0,40.8,60.7
27.0,41.3,61.1
27.0,41.2,60.4
26.9,41.1,61.0
26.9,41.4,61.0
26.9,41.4,61.3
26.9,41.2,61.2
26.9,41.0,60.7
26.8,41.1,60.6
26.8,41.1,60.7
26.8,41.7,60.6
26.8,41.9,60.9
26.8,40.8,60.4
26.7,41.4,60.0
26.7,41.5,60.7
26.7,41.6,61.0
26.7,41.4,60.6
26.6,41.4,60.6
26.6,41.2,60.4
26.6,41.5,60.5
26.6,41.3,60.5
26.6,41.5,60.5
26.5,41.9,60.6
26.5,41.5,60.1
26.5,41.4,60.3
26.5,42.0,60.2
26.4,41.8,60.5
26.4,41.7,59.9
26.4,41.7,59.9
26.4,41.5,59.9
26.3,41.6,59.8
26.3,41.3,60.4
26.3,41.7,59.8
26.3,41.8,59.7
26.2,41.9,60.0
26.2,41.7,59.9
26.2,41.7,59.9
26.2,42.0,59.8
26.1,42.5,59.3
26.1,41.7,60.2
26.1,42.0,59.1
26.1,41.9,59.2
26.0,42.0,59.8
26.0,42.1,59.5
26.0,42.2,59.8
26.0,42.2,59.9
25.9,41.8,59.4
25.9,41.9,59.8
25.9,42.8,59.6
25.9,42.6,59.7
25.8,41.5,59.5
25.8,42.7,59.4
25.8,42.4,59.8
25.8,42.3,59.5
25.7,42.5,59.6
25.7,42.1,59.7
25.7,43.2,59.4
25.6,42.0,59.0
25.6,42.5,59.5
25.6,42.8,59.9
25.6,42.9,60.3
25.5,42.7,58.6
25.5,42.5,59.1
25.5,42.5,59.6
25.4,42.6,59.4
25.4,42.4,58.6
25.4,42.5,58.6
25.4,42.9,59.4
25.3,42.6,59.3
25.3,42.9,58.9
25.3,42.7,58.8
25.2,42.8,58.9
25.2,43.1,58.7
25.2,42.6,58.7
25.2,42.6,58.6
25.1,42.4,59.2
25.1,43.4,58.7
25.1,43.0,58.8
25.0,42.5,58.6
25.0,43.1,58.1
25.0,43.1,58.7
24.9,43.3,58.7
24.9,43.4,59.2
24.9,43.1,58.6
24.9,43.2,58.7
24.8,42.9,58.1
24.8,43.2,58.3
24.8,43.2,58.7
24.7,43.0,58.4
24.7,43.6,58.2
24.7,43.7,58.1
24.6,43.6,58.7
24.6,43.1,57.9
24.6,43.7,58.2
24.5,43.5,58.3
24.5,43.1,58.3
24.5,44.1,58.5
24.5,43.8,58.1
24.4,43.3,57.6
24.4,43.4,58.2
24.4,43.2,57.9
24.3,44.1,58.0
24.3,43.4,58.5
24.3,43.8,58.2
24.2,44.2,58.6
24.2,43.8,58.7
24.2,43.3,57.8
24.1,43.7,57.5
24.1,44.1,57.8
24.1,43.6,57.7
24.0,44.4,57.6
24.0,44.3,58.2
24.0,43.1,58.7
23.9,43.8,57.6
23.9,44.5,57.7
23.9,44.0,58.1
23.8,44.4,57.6
23.8,44.2,57.1
23.8,44.3,57.3
23.7,43.9,57.5
23.7,44.1,57.7
23.7,44.5,58.0
23.7,44.3,57.9
23.6,44.1,58.4
23.6,44.4,57.9
23.6,44.2,57.2
23.5,44.0,57.3
23.5,44.5,57.2
23.5,44.6,57.1
23.4,45.1,57.5
23.4,44.4,57.4
23.4,44.7,57.4
23.3,44.6,57.8
23.3,44.4,56.2
23.3,44.8,56.7
23.2,44.3,57.6
23.2,45.1,57.0
23.2,45.2,57.1
23.1,44.7,56.4
23.1,44.8,56.9
23.1,44.7,56.8
23.0,44.4,57.0
24.0,52.4,57.8
23.9,53.1,57.3
23.9,53.0,57.9
23.8,52.5,57.8
23.8,53.5,57.5
23.7,53.3,57.9
23.7,53.5,57.4
23.6,53.9,58.8
23.6,53.3,58.2
23.5,53.2,57.9
23.5,54.4,57.3
23.4,53.3,57.6
23.4,54.0,57.6
23.3,54.8,58.0
23.3,54.4,58.1
23.2,54.7,57.8
23.2,54.2,58.1
23.1,55.0,58.1
23.1,54.6,58.3
23.0,54.5,58.5
23.0,54.5,58.0
22.9,55.0,58.3
22.9,54.6,58.3
22.8,55.3,58.6
22.8,54.7,58.1
22.7,54.9,58.3
22.7,54.8,57.9
22.6,55.8,58.7
22.6,55.2,58.5
22.5,55.8,58.6
22.5,56.0,58.8
22.4,55.7,58.1
22.4,56.2,58.7
22.3,55.4,58.4
22.3,55.7,58.2
22.2,55.6,59.1
22.2,56.2,58.3
22.1,56.0,59.0
22.1,56.4,58.4
22.0,56.5,58.3
22.0,56.7,58.8
22.0,56.4,58.3
21.9,56.9,58.4
21.9,57.0,58.6
21.8,57.5,58.7
21.8,57.3,58.6
21.7,57.2,59.2
21.7,56.7,58.5
21.6,57.9,58.5
21.6,57.2,58.2
21.6,57.1,59.3
21.5,56.7,59.0
21.5,57.0,58.8
21.4,57.4,59.4
21.4,57.5,59.0
21.4,57.4,58.7
21.3,58.0,59.0
21.3,57.4,59.2
21.2,57.9,59.7
21.2,57.8,58.7
21.2,57.7,58.9
21.1,58.2,59.6
21.1,57.6,59.0
21.1,58.1,59.5
21.0,58.2,59.7
21.0,59.0,59.0
21.0,58.5,58.8
20.9,58.7,59.3
20.9,57.8,59.3
20.9,59.2,59.4
20.8,58.3,58.7
20.8,59.5,58.8
20.8,58.7,59.6
20.7,58.9,59.7
20.7,59.3,59.2
20.7,58.4,58.9
20.6,58.9,59.7
20.6,58.8,59.8
20.6,58.3,59.9
20.6,59.1,59.7
20.5,60.4,59.4
20.5,59.7,60.2
20.5,59.3,60.1
20.5,58.9,59.3
20.4,59.3,59.4
20.4,59.2,59.9
20.4,59.4,59.9
20.4,59.4,59.5
20.3,59.5,60.4
20.3,59.4,60.2
20.3,60.3,59.9
20.3,59.6,58.9
20.3,59.2,60.0
20.2,59.6,59.8
20.2,59.7,59.5
20.2,59.4,60.5
20.2,59.1,59.8
20.2,58.9,59.7
20.2,59.7,60.3
20.2,59.2,59.5
20.1,60.0,60.4
20.1,59.2,60.1
20.1,60.2,60.2
20.1,60.0,59.5
20.1,59.9,60.3
20.1,59.8,60.0
20.1,61.1,59.9
20.1,60.2,60.3
20.0,60.2,60.7
20.0,59.3,59.9
20.0,59.3,59.9
20.0,59.4,59.9
20.0,59.5,60.2
20.0,60.1,59.9
20.0,60.1,60.7
20.0,60.0,60.4
20.0,60.6,60.6
20.0,59.4,60.7
20.0,59.4,59.7
20.0,60.2,60.5
20.0,59.5,60.2
20.0,60.3,60.7
20.0,60.1,60.5
20.0,60.7,60.5
20.0,60.2,60.7
20.0,60.2,60.9
20.0,59.9,60.4
20.0,59.6,61.0
20.0,60.0,60.7
20.0,60.1,60.9
20.0,60.5,61.0
20.0,59.6,61.1
20.0,59.4,61.0
20.1,59.8,60.8
20.1,59.3,61.0
20.1,59.8,61.0
20.1,59.2,60.6
20.1,60.2,60.9
20.1,59.3,60.9
20.1,60.4,60.8
20.1,60.0,60.9
20.2,59.9,60.5
20.2,59.3,61.4
20.2,59.4,61.5
20.2,59.6,61.2
20.2,59.3,61.3
20.2,59.1,60.6
20.2,58.4,61.2
20.3,59.9,60.6
20.3,59.4,60.8
20.3,59.0,61.0
20.3,59.3,61.0
20.3,59.7,61.1
20.4,59.1,61.8
20.4,59.3,61.3
20.4,58.9,61.9
20.4,59.2,61.2
20.5,59.2,61.3
20.5,59.6,60.8
20.5,59.2,61.1
20.5,58.7,61.2
20.6,59.4,62.0
20.6,59.0,61.1
20.6,59.6,61.3
20.6,58.7,61.2
20.7,58.9,61.6
20.7,58.8,61.8
20.7,58.9,62.1
20.8,58.0,61.4
20.8,58.7,61.6
20.8,57.6,61.9
20.9,58.9,61.7
20.9,58.7,61.4
20.9,58.7,61.9
21.0,58.9,61.7
21.0,58.5,61.7
21.0,57.8,61.7
21.1,58.1,61.8
21.1,57.9,61.6
21.1,58.3,62.1
21.2,57.8,61.6
21.2,57.7,62.3
21.2,58.0,61.8
21.3,57.9,62.2
21.3,56.8,62.2
21.4,57.7,62.1
21.4,57.4,61.9
21.4,57.5,61.8
21.5,57.4,61.8
21.5,57.0,62.2
21.6,57.1,62.0
21.6,57.4,62.0
21.6,57.7,62.4
21.7,57.3,62.3
21.7,57.3,62.0
21.8,56.7,62.4
21.8,56.8,62.3
21.9,56.8,62.0
21.9,56.3,62.4
22.0,56.5,62.1
22.0,56.9,62.3
22.0,56.0,62.3
22.1,56.5,62.7
22.1,56.6,61.9
22.2,56.1,62.6
22.2,56.5,62.4
22.3,55.8,62.0
22.3,55.6,62.1
22.4,55.9,62.3
22.4,56.6,62.2
22.5,55.3,62.7
22.5,55.6,63.0
22.6,55.4,62.7
22.6,55.2,62.8
22.7,55.4,62.7
22.7,55.3,61.6
22.8,55.0,62.4
22.8,54.9,62.7
22.9,54.6,62.7
22.9,54.2,62.6
23.0,54.6,63.0
23.0,54.7,63.1
23.1,55.1,62.7
23.1,54.0,62.5
23.2,54.6,63.4
23.2,54.3,62.8
23.3,53.9,62.7
23.3,54.1,63.1
23.4,53.6,63.6
23.4,54.0,62.9
23.5,53.7,62.8
23.5,53.6,62.9
23.6,53.1,62.9
23.6,54.3,63.1
23.7,53.8,63.2
23.7,53.9,63.1
23.8,52.3,62.3
23.8,53.2,63.4
23.9,52.8,63.0
23.9,52.9,63.2
